trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
33,False,"{'a': 0.8, 'e': 0.47631804821501833}",30,12,-65.18356765439425,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.8, 'e': 0.9626058663135666}",30,0,-127.45978466739504,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
35,False,"{'a': 0.8, 'e': 0.8649898828201886}",20,6,-22.984700832979996,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.24268264344292018}",20,8,20.47056668172233,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.5268326309626121}",25,0,6.915800366753622,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.8, 'e': 0.9767783008322618}",20,0,-18.51132198636501,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
39,False,"{'a': 0.8, 'e': 0.8342233605065102}",25,0,-187.17963020680455,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
40,False,"{'a': 0.8, 'e': 0.1856397238857843}",25,8,-12.174503833734287,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.8, 'e': 0.5755504782013432}",20,0,-112.6707030815218,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
42,False,"{'a': 0.8, 'e': 0.9876194833474773}",25,0,-172.30638542357318,"{0: 11, 1: 5, 2: 4, 3: 4, 4: 1}",0
43,False,"{'a': 0.8, 'e': 0.8006117624589936}",30,0,-149.11035765414883,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.8, 'e': 0.12796368962740468}",30,12,28.695085160252763,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.6223054402265364}",20,0,-102.79903860823664,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.8, 'e': 0.9950924405655388}",20,9,-46.17125588206745,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.8, 'e': 0.7642697192987757}",20,0,-55.552448909808014,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.8, 'e': 0.06985124180712729}",25,8,29.74615408773687,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.6669380616522619}",25,0,-31.206166105897562,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.9991716863513789}",25,0,-222.3205615512979,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
51,False,"{'a': 0.8, 'e': 0.7253211736891914}",20,0,-86.45786510727994,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.8, 'e': 0.011500569930257757}",20,10,-3.7990007613767434,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.7092961252257328}",20,0,-76.07271039447262,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.8, 'e': 0.9998433086476912}",25,7,-84.24860940160859,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
55,False,"{'a': 0.8, 'e': 0.6838989576356965}",20,6,-10.900160710646675,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.04688932404704311}",25,11,24.59182914661721,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.749235170956358}",25,19,-0.8832910871391775,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.9971050169212831}",25,0,-150.39239964377185,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
59,False,"{'a': 0.8, 'e': 0.6401443394691997}",20,0,-73.49176216874098,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.1051193044036857}",25,8,6.846452156223387,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.7866189887891044}",25,0,-12.155278295655858,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.8, 'e': 0.99096614997482}",25,0,-186.8915414817119,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
63,False,"{'a': 0.8, 'e': 0.5942065420576682}",25,8,-17.294253146198834,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.16299078079570548}",30,12,12.986842998825022,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.8213200831418752}",20,0,-116.18725624964893,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
66,False,"{'a': 0.8, 'e': 0.9814476440973232}",20,0,-93.48888278254373,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
67,False,"{'a': 0.8, 'e': 0.5462422338892708}",35,0,-119.44316067973207,"{0: 25, 1: 3, 2: 3, 3: 3, 4: 1}",0
68,False,"{'a': 0.8, 'e': 0.22030638553844242}",25,0,31.38892885053523,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.8, 'e': 0.853220107722584}",20,0,-225.58221484658458,"{0: 6, 1: 4, 2: 5, 3: 2, 4: 3}",0
70,False,"{'a': 0.8, 'e': 0.9685819616620305}",35,0,-161.66007937051538,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 3}",0
71,False,"{'a': 0.8, 'e': 0.49641499476256723}",25,15,-31.34559653281486,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.8, 'e': 0.276870646718798}",20,3,-80.07142979740875,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
73,False,"{'a': 0.8, 'e': 0.882210269143113}",35,0,-104.42473385790917,"{0: 26, 1: 2, 2: 4, 3: 2, 4: 1}",0
74,False,"{'a': 0.8, 'e': 0.9524129804151563}",30,0,-143.0019379134856,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
75,False,"{'a': 0.8, 'e': 0.4448947579060243}",25,2,-74.86235513615571,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
76,False,"{'a': 0.8, 'e': 0.33249065484213236}",30,0,-11.285831956249739,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
77,False,"{'a': 0.8, 'e': 0.9081916979535211}",20,0,-76.03170777030242,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.9329958438330894}",20,0,-109.7801138047331,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
79,False,"{'a': 0.8, 'e': 0.39185723042955}",20,10,18.917565143992924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.38697672074015643}",25,12,0.9468968099889299,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.9310757858312195}",30,6,-92.73439631120007,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 1}",1
